No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info
132;艾哈迈德-穆阿里;Ahmad Hammouri;1;2;7;77;56;71;70;69;48;52;60;55;70;70;69;55;63;20;0;约旦;11;0;0;0;0;5001;0
133;阿姆尔-根迪;Amr Gendy;4;0;7;76;76;71;68;82;80;69;71;74;73;70;75;79;77;33;1;埃及;12;0;0;0;0;5001;Amr El Gendy Abdelhalim（生于 1991 年 6 月 14 日）是埃及篮球运动员，曾效力于阿赫利队和埃及队。他曾随阿赫利队夺得 2023 年巴联赛冠军。
134;奥马尔-希沙姆;Omar Hesham;2;0;7;76;73;85;76;65;65;72;67;74;82;72;79;67;74;29;1;埃及;12;0;0;0;0;5001;奥马尔-赫沙姆-侯赛因（阿拉伯语：عمر هشام,生于 1995 年 3 月 29 日），埃及篮球运动员，效力于扎马莱克队。他身高 1.87 米（6 英尺 1+1⁄2 英寸），司职投篮后卫。他还是埃及国家篮球队的成员。
135;哈立德-阿布达尔加瓦德;KHALED ABDELGAWAD;4;0;7;64;76;64;65;74;75;73;56;71;63;66;68;71;70;25;1;埃及;12;0;0;0;0;5001;Khaled Abdelgawad 是一名篮球运动员，出生于 1999 年 2 月 15 日。身高六英尺八（2 米04/6-8）。他是一名大前锋，最近代表埃及参加了非洲篮球预选赛。
136;奥马尔-阿拉比;Omar Oraby;5;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;32;0;埃及;12;0;0;0;0;5001;奥马尔-塔里克-赛义德-奥拉比（Omar Tarek Saiid Oraby，1991 年 9 月 8 日出生）是一名埃及篮球运动员，现效力于阿赫利队和埃及国家队。身高 2.18 米（7 英尺 2 英寸），司职中锋。
137;海赛姆-卡迈勒;Haytham KHALIFA;5;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;36;0;埃及;12;0;0;0;0;5001;Haytham Kamal Khalifa（1987 年 11 月 17 日出生）是一名埃及篮球运动员，曾效力于 Al Ittihad 和埃及国家队，并参加了 2014 年国际篮联篮球世界杯。
138;阿纳斯-马哈茂德;Anas Mahmoud;5;0;7;65;73;63;61;72;68;74;60;78;68;61;69;70;69;29;0;埃及;12;0;0;0;0;5001;阿纳斯-奥萨马-马哈茂德（阿拉伯语：أنس أسامة محمود,生于 1995 年 5 月 9 日）是一名埃及职业篮球运动员，现效力于埃及篮球超级联赛的亚历山大阿尔伊蒂哈德队。他曾在路易斯维尔大学打大学篮球。他代表埃及国家篮球队出战。
139;奥马尔-谢赫;Omar Hany Hamza M. ELSHEIKH;4;0;8;62;72;72;61;73;71;73;55;69;70;56;66;69;68;26;0;埃及;12;0;0;0;0;5001;0
140;帕特里克-加德纳;Patrick Gardner;5;0;7;62;82;66;57;63;79;63;61;78;68;61;70;67;68;25;1;埃及;12;0;0;0;0;5001;帕特里克-优素福-加德纳（Patrick Yousef Gardner，1999 年 6 月 16 日出生）是一名美籍埃及裔职业篮球运动员，现效力于埃及篮球超级联赛和非洲篮球联赛（BAL）的阿赫利队。他曾在拿骚社区学院、圣迈克尔学院和马里斯特学院打过大学篮球。
141;优素福-穆罕默德-赫尔米;Youssef Mohamed HELMY;1;0;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;23;0;埃及;12;0;0;0;0;5001;优素福-赫尔米（Youssef Helmy）是一名篮球运动员，出生于 2001 年 6 月 20 日。他身高六英尺一（1米85/6-1）。他是一名控球后卫，最近代表埃及参加了非洲篮球预选赛。
142;艾哈迈德-梅特瓦利;Ahmed Metwaly;1;0;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;27;0;埃及;12;0;0;0;0;5001;Ahmed Metwaly 是一名篮球运动员，出生于 1997 年 2 月 15 日。身高五英尺十英寸（1米77/5-10）。他是一名控球后卫，最近代表埃及参加了非洲篮球预选赛。
143;优素福-谢哈塔;Yusuf Shehata;1;0;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;28;0;埃及;12;0;0;0;0;5001;优素福-谢哈达（Yusuf Shehata）（1996 年 1 月 16 日出生）是一名埃及裔美国篮球运动员，现效力于埃及篮球超级联赛的亚历山大阿尔伊蒂哈德队。他还效力于埃及国家篮球队，并随队参加了 2021 年非洲篮球锦标赛。
144;卡里姆-埃勒吉扎维;KARIM ELGIZAWY;1;0;7;80;54;65;58;59;55;52;65;55;70;59;65;55;61;19;1;埃及;12;0;0;0;0;5001;Karim Elgizawy 是一名篮球运动员，出生于 2005 年 1 月 13 日。身高六英尺三英寸（1米91/6-3）。他是一名控球后卫，最近代表埃及参加了非洲篮球预选赛。
145;努尼-奥莫特;ANUNWA OMOT;3;0;8;69;81;92;68;87;69;73;68;75;76;73;78;77;79;29;0;南苏丹;13;0;0;0;202400;5001;安努瓦-"努尼"-奥莫特（Anunwa "Nuni" Omot，1994 年 10 月 3 日出生），南苏丹裔美国职业篮球运动员，现效力于中国篮球协会（CBA）北京鸭队。在康考迪亚大学和印第安山社区学院学习两年后，他在贝勒熊队打了两年大学篮球。
146;桑迪-德赫;Sunday Dech;1;0;8;75;69;83;63;61;61;68;78;72;80;70;76;68;73;30;1;南苏丹;13;0;0;0;0;5001;Sunday Dech（1994 年 1 月 1 日出生）是南苏丹裔澳大利亚职业篮球运动员，现效力于 NBL1 西部的东珀斯老鹰队。他还与澳大利亚全国篮球联赛（NBL）的阿德莱德 36 人队签有合同。他是珀斯野猫队的两届 NBL 总冠军得主，曾在 2014 年和 2019 年夺冠。德奇曾在 NCAA 二级大学篮球联赛中效力于 Metro State Roadrunners 和 Barry Buccaneers。
147;马里亚尔-沙约克;Marial Shayok;2;3;9;70;75;75;75;70;60;60;80;80;80;74;77;69;73;28;4;南苏丹;13;0;0;0;201954;2120;马里亚尔·沙约克（英语：Marial Shayok，1995年7月26日—）为加拿大、南苏丹男子篮球运动员，生于渥太华，七岁开始打篮球，2023年夏天代表南苏丹征战世界杯篮球赛，2023年10月加盟中国男子篮球职业联赛山东高速麒麟。
148;马佐科-邓;Majok Deng;4;0;7;76;71;70;63;70;71;72;64;76;68;64;72;70;71;31;8;南苏丹;13;0;0;0;0;5001;马约克-马查尔-登（Majok Machar Deng，1993 年 3 月 1 日出生）是一名南苏丹裔澳大利亚职业篮球运动员，现效力于澳大利亚全国篮球联赛（NBL）塔斯马尼亚 JackJumpers 队。他曾在美国印第安山社区学院（Indian Hills Community College）和路易斯安那州门罗大学（Louisiana-Monroe）打过大学篮球。2016 年，他代表阿德莱德 36 人队首次参加 NBL 联赛。在为 36 人队效力三个赛季后，他于 2019 年加盟凯恩斯大班队（Cairns Taipans），并在那里度过了四个赛季。
149;卡曼-马卢阿奇;Khaman Maluach;5;0;9;64;73;80;77;73;63;66;64;67;80;66;74;66;70;19;0;南苏丹;13;0;0;0;202500;5001;卡曼-马迪特-马卢阿奇（Khaman Madit Maluach，出生于 2006 年 9 月 14 日）是一名南苏丹篮球运动员，目前效力于非洲篮球联赛（BAL）的城市油人队（City Oilers）。他身高 7 英尺 2 英寸（2.18 米），司职中锋。他还是南苏丹国家队的现役成员，16 岁时加入国家队。
150;卡利克-琼斯;Carlik Jones;1;0;9;78;63;72;69;68;60;64;69;61;74;60;71;65;68;26;2;南苏丹;13;0;0;0;202200;1833;卡里克·琼斯（英语：Carlik Jones，1997年12月23日—）为美国男子篮球运动员，出生于俄亥俄州辛辛那提，2021年离开刘易斯维尔大学，2023年4月效力风城公牛的琼斯获选NBA G联盟MVP，2023年夏天代表南苏丹征战世界杯篮球赛。2023年11月1日，琼斯与中国男子篮球职业联赛浙江金牛完成签约。
151;夸尼-夸尼;Kuany Kuany;4;0;7;72;68;69;60;71;66;68;68;72;69;58;68;68;68;30;1;南苏丹;13;0;0;0;0;5001;Kuany Ngor Kuany（1994 年 7 月 8 日出生）是一名南苏丹-澳大利亚篮球运动员，曾效力于芬兰联赛和国际篮联欧洲杯的考哈霍恩-卡尔胡队。
152;布尔-库尔;Bul Kuol;2;3;7;67;74;69;65;74;67;57;66;74;70;69;69;66;67;27;1;南苏丹;13;0;0;0;0;5001;布尔-库尔（Bul Kuol，1997 年 1 月 10 日出生）是南苏丹裔澳大利亚职业篮球运动员，现效力于澳大利亚全国篮球联赛（NBL）悉尼国王队。他出生于苏丹，九岁时移居澳大利亚，在堪培拉长大。他在美国打了五年大学篮球，其中四年在加州浸信会大学，一年在底特律梅西大学。2021 年，他加入凯恩斯大班队，并为该俱乐部效力了三个赛季。2023 年，他曾在法国职业甲级联赛勒芒队效力。
153;JT-索尔;JT Thor;4;5;9;52;70;60;73;76;71;74;60;64;58;63;61;72;67;20;2;南苏丹;13;0;0;0;202137;1501;JT·索尔（英语：JT Thor，2002年8月26日—）是一位南苏丹职业篮球运动员，现效力NBA球队克利夫兰骑士，南苏丹国家男子篮球队成员。
154;彼得-乔克;Peter Jok;2;3;8;62;72;72;61;73;71;73;55;69;70;56;64;67;65;30;0;南苏丹;13;0;0;0;0;5001;卡库尔-杜特-彼得-乔克（Kacoul Dut Peter Jok，1994 年 3 月 30 日出生）是一名南苏丹职业篮球运动员，效力于加拿大精英篮球联赛（CEBL）的渥太华黑鹰队。他曾在大学期间效力于十大联盟的爱荷华大学。乔克身高 6 英尺 6 英寸（1.98 米），是一名摇摆人，原籍伦拜克。乔克代表南苏丹国家队参加了 2023 年国际篮联世界杯，并获得了 2024 年奥运会的参赛资格。
155;阿尼亚巴尼-马科伊;Jackson Makoi;1;0;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;24;0;南苏丹;13;0;0;0;0;5001;Anyiarbany Jackson Makoi（生于 2000 年 7 月 3 日）是一名南苏丹裔澳大利亚职业篮球运动员，现效力于澳大利亚全国篮球联赛（NBL）凯恩斯大班队。他曾代表南苏丹国家篮球队参加国际比赛。
156;韦尼恩-加布里埃尔;Wenyen Gabriel;4;3;9;51;76;57;71;74;74;76;46;65;52;62;60;70;65;26;4;南苏丹;13;0;0;0;201800;1079;加布里埃尔（Wenyen Gabriel，出生于 1997 年 3 月 26 日），南苏丹裔美国职业篮球运动员，现效力于以色列篮球超级联赛和欧洲联赛的特拉维夫马卡比队。他曾效力于肯塔基野猫大学篮球队，2016 年曾是一名五星级探花秀，在 ESPN 百强榜上排名第 14 位。加布里埃尔还曾效力于 NBA 萨克拉门托国王队、波特兰开拓者队、新奥尔良鹈鹕队、布鲁克林篮网队、洛杉矶快船队和洛杉矶湖人队。
157;若昂-费尔南德斯;João Fernandes;5;0;7;69;82;74;60;80;82;77;57;80;75;67;76;79;78;31;1;安哥拉;14;0;0;0;0;5001;若昂-保罗-达科斯塔-费尔南德斯（João Paulo da Costa Fernandes）（1992 年 12 月 1 日出生）是安哥拉职业篮球运动员，现效力于安哥拉体育 CP。
158;葛森-贡萨尔维斯;Gerson Gonçalves;2;0;7;74;74;73;69;69;62;64;67;75;77;72;74;65;70;28;1;安哥拉;14;0;0;0;0;5001;Gerson Henriques Gonçalves（生于1996年3月29日），又名Lukeny，安哥拉篮球运动员。他自2015年起效力于安哥拉篮球联赛的罗安达石油队，曾两度获得联赛MVP。
159;奇尔德-邓多;CHILDE DUNDAO;1;0;7;81;66;69;71;72;58;59;72;67;71;71;74;66;70;26;1;安哥拉;14;0;0;0;0;5001;Childe Madaleno Fortuna Dundão（生于 1998 年 5 月 17 日）是一名安哥拉篮球运动员，现效力于安哥拉篮球联赛和非洲篮球联赛（BAL）的罗安达石油队。他身高 1.67 米（5 英尺 5+1⁄2 英寸），司职控球后卫。
160;布拉兹-马卡奇;Braz Macachi;5;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;22;0;安哥拉;14;0;0;0;0;5001;0
161;爱德华多-弗朗西斯科;Eduardo Francisco;5;4;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;20;1;安哥拉;14;0;0;0;0;5001;爱德华多-明加斯-弗朗西斯科是一名篮球运动员，出生于 2003 年 11 月 05 日。
162;阿布巴卡尔-加库;Aboubakar Gakou;4;0;8;62;72;72;61;73;71;73;55;69;70;56;66;69;68;27;0;安哥拉;14;0;0;0;0;5001;阿布巴卡尔-佩德罗-加库（Aboubakar Pedro Gakou）（生于1997年5月27日），安哥拉篮球运动员，现效力于罗安达石油队和安哥拉国家队。他身高 2.01 米（6 英尺 7 英寸），司职大前锋。
163;布鲁诺-费尔南多;Bruno Fernando;5;0;10;50;72;60;74;74;68;71;59;64;58;63;62;69;66;25;4;安哥拉;14;0;0;0;201934;965;0
164;吉尔森-班戈;Jilson Bango;5;0;7;71;72;68;57;63;73;63;55;73;69;61;69;63;66;25;1;安哥拉;14;0;0;0;0;5001;Jilson Bango（1999 年 1 月 6 日出生）是一名安哥拉篮球运动员，现效力于安哥拉甲级联赛萨拉戈萨篮球队和安哥拉国家队。他身高 2.08 米（6 英尺 10 英寸），司职中锋。
165;西尔维奧-代-索萨;Silvio De Sousa;5;4;7;57;78;60;70;65;67;66;55;79;65;68;69;63;66;25;1;安哥拉;14;0;0;0;0;5001;西尔维奥-德索萨（Silvio De Sousa）（1998 年 10 月 7 日出生），安哥拉职业篮球运动员，曾效力于希腊篮球联赛和欧洲杯的阿里斯队。
166;路易斯-佩雷拉;Luis Pereira;1;0;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;23;0;安哥拉;14;0;0;0;0;5001;路易斯-佩雷拉是一名篮球运动员，出生于 2000 年 9 月 8 日。他的身高为 6 英尺 2（1 米87 / 6-2）。
167;谢尔顿-米格尔;Selton Miguel;1;2;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;23;0;安哥拉;14;0;0;0;0;5001;0
168;阿吉纳尔多-内图;Aginaldo NETO;1;0;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;18;0;安哥拉;14;0;0;0;0;5001;0
169;贝托-戈梅斯;João Gomes;3;0;7;84;75;82;72;79;77;77;79;79;79;79;82;81;83;38;0;佛得角;15;0;0;0;0;5001;若昂-戈麦斯（João Gomes，1985 年 5 月 2 日出生），俗称贝蒂尼奥（Betinho），葡萄牙职业篮球运动员，效力于葡萄牙篮球联赛本菲卡队。
170;菲德尔-梅东萨;Fidel Mendonça;1;0;7;93;70;81;71;75;67;82;76;70;82;74;85;78;82;39;0;佛得角;15;0;0;0;0;5001;菲德尔-门东萨（Fidel Mendonça，1984 年 7 月 7 日出生）是一名佛得角篮球运动员，现效力于 Prédio 公司和佛得角国家篮球队。身高 1.87 米（6 英尺 1+1⁄2 英寸），司职投篮后卫。
171;沃尔特-塔瓦雷斯;Walter Tavares;5;0;9;65;87;65;60;85;84;85;69;88;54;64;73;87;80;31;0;佛得角;15;0;0;0;201443;1480;沃尔特-塞缪尔-埃迪-塔瓦雷斯-达维加（Walter Samuel Edy Tavares da Veiga，1992 年 3 月 22 日出生），佛得角籍职业篮球运动员，效力于西班牙 ACB 联赛皇家马德里队和欧洲联赛。他在 2014 年 NBA 选秀大会总第 43 顺位被亚特兰大老鹰队选中，曾代表佛得角国家篮球队出战国际比赛。塔瓦雷斯身高 7 英尺 3 英寸（约合 2.21 米），翼展 7 英尺 9 英寸（约合 2.36 米），是一名身体素质出众的球员，因此备受赞誉。
172;肯尼斯-门德斯;Kenneti Mendes;4;0;7;81;74;77;76;86;85;68;60;76;74;73;79;79;79;33;0;佛得角;15;0;0;0;0;5001;肯尼蒂-门德斯（Kenneti Mendes）是一名篮球运动员，出生于 1990 年 8 月 17 日。身高六英尺八（2 米03/6-8）。他是一名大前锋，最近代表佛得角参加了世界杯非洲区预选赛。
173;伊万-阿尔梅达;Ivan Almeida;2;3;7;74;76;88;82;77;67;64;82;75;83;77;83;75;79;34;0;佛得角;15;0;0;0;0;5001;伊万-阿尔梅达（Ivan Almeida，生于 1989 年 5 月 10 日），佛得角职业篮球运动员，现效力于葡萄牙甲级联赛本菲卡队。他身高 6 英尺 6 英寸（1.98 米），通常司职小前锋。
174;乔尔-阿尔梅达;Joel Almeida;2;3;7;75;78;80;71;72;68;68;85;76;85;77;80;76;78;37;0;佛得角;15;0;0;0;0;5001;乔尔-弗雷塔斯-阿尔梅达（Joel Freitas Almeida，1985 年 10 月 11 日出生）是佛得角篮球运动员，目前正代表佛得角国家队参加非洲篮球联赛资格赛。
175;沙恩-达罗沙;Shane Da Rosa;1;0;7;90;75;86;69;72;58;64;72;76;80;71;85;68;77;35;0;佛得角;15;0;0;0;0;5001;沙恩-达罗沙是一名篮球运动员，出生于 1988 年 4 月 23 日。他的身高为 6 英尺（1 米83 / 6-0）。
176;凯文-科罗内尔;Kevin Coronel;3;0;7;82;77;70;73;68;78;69;74;73;72;77;77;73;76;31;0;佛得角;15;0;0;0;0;5001;凯文-奥利维拉-科罗内尔（Kevin Oliveira Coronel）是一名篮球运动员，出生于 1991 年 9 月 3 日。身高六英尺五英寸（1米96/6-5）。他是一名小前锋，最近代表佛得角参加了世界杯非洲区预选赛。
177;帕特里克-利马;Patrick Lima;3;0;7;75;73;79;72;76;74;62;67;75;74;72;76;70;74;28;0;佛得角;15;0;0;0;0;5001;帕特里克-利马是一名篮球运动员，出生于 1995 年 5 月 02 日。身高六英尺四英寸（1米93/6-4）。他是一名小前锋，最近代表佛得角参加了世界杯非洲区预选赛。
178;凯文-戈麦斯;Keven Gomes;5;0;7;64;83;66;71;70;72;69;62;82;68;67;75;69;72;27;0;佛得角;15;0;0;0;0;5001;凯文-戈麦斯是一名篮球运动员，出生于 1995 年 10 月 29 日。身高六英尺十一英寸（2米11/6-11）。他是一名中锋，最近效力于葡萄牙职业联赛波尔图俱乐部。
179;威尔-塔瓦雷斯;Will Tavares;2;0;7;70;71;85;65;67;58;64;64;74;79;65;74;62;69;28;0;佛得角;15;0;0;0;0;5001;威廉姆斯-弗朗西斯-蒙泰罗-塔瓦雷斯是一名篮球运动员，1995 年 7 月 18 日出生于普罗维登斯。身高六英尺五英寸（1米95/6-5）。他是一名投篮后卫，最近代表佛得角参加了世界杯非洲区预选赛。
180;安德森-科雷亚;Anderson Correia;2;0;7;66;69;79;75;63;57;70;62;71;77;75;73;61;68;25;0;佛得角;15;0;0;0;0;5001;安德森-阿尔梅尼奥-戈麦斯-科雷亚（Anderson Arménio Gomes Correia，1997 年 10 月 31 日出生）是一名佛得角篮球运动员，现效力于罗安达石油队和佛得角国家队。他身高 1.95 米（6 英尺 5 英寸），司职投篮后卫。
181;扬尼斯-阿德托昆博;Giannis Antetokounmpo;4;5;11;84;96;70;75;93;82;91;77;96;71;75;88;93;91;29;10;希腊;16;0;0;0;201315;13;扬尼斯·西纳·欧格科·安特托昆博（希腊语：Γιάννης Αντετοκούνμπο，希腊语发音：[ˈʝanis a(n)detoˈku(m)bo]，英语：Giannis Sina Ougko Antetokounmpo、人名希腊化前姓氏为Adetokunbo，1994年12月6日—），外号“希腊怪物”（Greek Freak），希腊男子篮球运动员，场上位置为大前锋，现效力于NBA密尔沃基雄鹿队。是NBA历史上第二位姓氏达到十三个字母的球员。由于拥有当前NBA最多字母的姓氏
182;尼克-卡拉希斯;Nick Calathes;2;1;9;82;77;79;74;70;71;66;73;75;77;69;80;71;76;20;0;希腊;16;0;0;0;200945;1905;尼古拉斯-威廉-卡拉切斯（希腊语：Νικόλαος Γουίλιαμ Νικ Καλάθης，1989 年 2 月 7 日出生）是一名美籍希腊裔职业篮球运动员，效力于法国 LNB 职业甲级联赛和欧洲联赛的 AS 摩纳哥队。他曾在佛罗里达鳄鱼队（Florida Gators）打过大学篮球。卡拉特斯曾入选 2018 年和 2019 年欧洲联赛最佳阵容第一队，还曾在 NBA、希腊篮球联赛和 VTB 联合联赛打过球。他代表希腊国家篮球队参加国际比赛。
183;科斯塔斯-帕帕尼古拉乌;Kostas Papanikolaou;3;0;9;70;75;80;80;75;65;65;68;68;80;70;77;68;74;33;1;希腊;16;0;0;0;201248;2068;Konstantinos Kostas Papanikolaou（希腊语：Κωνσταντίνος Κώστας Παπανικολάου,1990 年 7 月 31 日出生），绰号 空中帕普，希腊职业篮球运动员，希腊篮球联赛（GBL）和欧洲联赛奥林匹亚科斯队队长。他身高 2.04 米（6'8 1⁄2），司职小前锋。他曾在 NBA 休斯敦火箭队和丹佛掘金队以及欧洲联赛劲旅巴塞罗那足球俱乐部效力。帕帕尼古拉乌还是希腊国家队的常客。他被广泛认为是欧洲篮球界最好的防守球员之一。
184;汤玛斯-沃克普;Thomas Walkup;1;0;7;77;74;73;71;72;61;72;72;69;77;68;75;71;73;31;1;希腊;16;0;0;0;0;5001;托马斯-莱恩-沃卡普（Thomas Ryan Walkup，生于 1992 年 12 月 30 日）是一名美国出生的归化希腊籍职业篮球运动员，效力于希腊篮球联赛（GBL）和欧洲联赛的奥林匹亚科斯队。他还代表希腊国家队参加国际比赛。他曾在斯蒂芬-F-奥斯汀州立大学打大学篮球，之后连续两个赛季（2015 年和 2016 年）被评为南区联盟年度最佳球员。沃克普是德克萨斯州人。
185;乔治斯-帕帕扬尼斯;Georgios Papagiannis;5;0;8;60;80;55;60;75;80;80;65;70;60;60;65;79;72;26;1;希腊;16;0;0;0;201613;1377;Georgios Papagiannis（希腊语：Γιώργος Παπαγιάννης,生于 1997 年 7 月 3 日）是一名希腊职业篮球运动员，现效力于土耳其篮球超级联赛（BSL）和欧洲联赛的费内巴切队。他出生于希腊阿提卡的马鲁西，身高 7 英尺 2 3⁄4 英寸（2.20 米），翼展 7 英尺 6 英寸（2.29 米）。他的绰号是 PeeG、Big Papa 和 Big Doofus。他还是希腊国家队的成员。在 2016 年 NBA 选秀大会上，他在总第 13 位被菲尼克斯太阳队选中，之后他的选秀权被交易到萨克拉门托国王队。
186;康斯坦丁诺斯-米托格鲁;Konstantinos Mitoglou;4;5;7;77;83;65;75;71;69;67;62;82;63;67;77;67;72;27;1;希腊;16;0;0;0;0;5001;Konstantinos Dinos Mitoglou（希腊语：Κωνσταντίνος Ντίνος Μήτογλου,出生于 1996 年 6 月 11 日），希腊职业篮球运动员，希腊篮球联赛和欧洲联赛帕纳辛纳科斯队副队长。他曾在维克森林大学打大学篮球。他身高 2.10 米（6' 103⁄4），司职大前锋，偶尔也能打中锋。
187;扬努里斯-拉伦扎基斯;Giannoulis Larentzakis;2;0;7;80;66;77;66;63;63;61;68;65;77;70;74;62;69;30;1;希腊;16;0;0;0;0;5001;Giannoulis Larentzakis（希腊语：Γιαννούλης Λαρεντζάκης，1993 年 9 月 22 日出生）是一名希腊职业篮球运动员，效力于希腊篮球联赛（GBL）和欧洲联赛的奥林匹亚科斯队。他身高 1.96 米（6'5），司职投篮后卫。
188;瓦西利斯-哈拉兰波普洛斯;Vasilis Charalampopoulos;3;0;8;62;72;72;61;73;71;73;55;69;70;56;64;68;67;27;0;希腊;16;0;0;0;0;5001;Vassilis Charalampopoulos（另一种拼写：Vasileios、Vasilis、Basilis、Charalabopoulos）（希腊语：Βασίλης Χαραλαμπόπουλος,1997 年 1 月 6 日出生）是希腊职业篮球运动员，效力于 Basketbol Süper Ligi（BSL）的 Türk Telekom。
189;帕纳吉奥蒂斯-卡莱茨基斯;Panagiotis Kalaitzakis;3;0;8;62;72;72;61;73;71;73;55;69;70;56;64;68;67;25;0;希腊;16;0;0;0;0;5001;Panagiotis Panos Kalaitzakis（希腊语：Παναγιώτης Πάνος Καλαϊτζάκης,出生于 1999 年 1 月 2 日）是一名希腊职业篮球运动员，曾效力于希腊篮球联赛和欧洲联赛的帕纳辛纳科斯队。他是一名身高 2.00 米（6'6 3⁄4）的小前锋。
190;季米特里斯-莫赖蒂斯;Dimitris Moraitis;1;2;7;72;66;79;61;63;51;64;69;69;80;67;72;61;67;25;1;希腊;16;0;0;0;0;5001;Dimitrios Rafail Moraitis（另一种拼写：Dimitris Rafail Moraitis）（希腊语：Δημήτρης Ραφαήλ Μωραΐτης,1999 年 2 月 3 日出生）是一名希腊职业篮球运动员，效力于希腊篮球联赛和欧洲联赛的帕纳辛奈科斯队。他是一名身高 1.94 米（6 英尺 41⁄2 英寸）的组合型后卫。
191;瓦西里欧斯-托利普洛斯;Vasileios Toliopoulos;2;1;8;62;72;72;61;73;71;73;55;69;70;56;64;67;65;28;0;希腊;16;0;0;0;0;5001;Vassilis Billy Toliopoulos（其他拼写：Vasilis、Vasileios）（希腊语：Βασίλης Μπίλλυ Τολιόπουλος, 出生于 1996 年 6 月 15 日）是一名希腊职业篮球运动员，也是希腊篮球联赛和欧洲杯赛阿里斯队的队长。他是一名身高 1.88 米（6 英尺 2 英寸）的组合型后卫。
192;科斯塔斯-阿德托昆博;Kostas Antetokounmpo;3;4;6;60;71;61;66;68;61;63;65;65;64;63;62;63;63;26;5;希腊;16;0;0;0;201860;750;康斯坦丁诺斯-恩杜布西-“科斯塔斯”-安特托孔波（Konstantinos Ndubuisi “Kostas” Antetokounmpo）（1997 年 11 月 20 日）是一名尼日利亚-希腊职业篮球运动员，效力于希腊篮球联赛和欧洲联赛的奥林匹亚科斯队。
193;詹保罗-里奇;Giampaolo Ricci;4;3;7;66;81;69;76;72;78;76;74;81;70;74;76;77;77;32;1;意大利;17;0;0;0;0;5001;詹保罗-里奇（Giampaolo Ricci）（生于 1991 年 9 月 27 日）是一名意大利职业篮球运动员，现效力于意大利篮球甲级联赛（LBA）和欧洲联赛的米兰奥林匹亚队。他司职大前锋。里奇还曾代表意大利国家队参加国际比赛。
194;斯特凡诺-托努特;Stefano Tonut;2;1;7;69;77;80;69;75;71;62;79;77;81;73;76;74;75;30;1;意大利;17;0;0;0;0;5001;斯特凡诺-托努特（Stefano Tonut，1993 年 11 月 7 日出生）是一名意大利职业篮球运动员，现效力于意大利甲级联赛（LBA）和欧洲联赛的米兰奥林匹亚队。他身高 1.94 米（6 英尺 4 英寸），司职投篮后卫和控球后卫。
195;达尼罗-加里纳利;Danilo Gallinari;5;4;8;50;77;78;80;75;60;71;60;77;80;69;74;67;70;35;15;意大利;17;0;0;0;200806;235;0
196;阿切列-波罗纳拉;Achille Polonara;4;0;8;62;72;72;61;73;71;73;55;69;70;56;66;69;68;32;1;意大利;17;0;0;0;0;5001;阿奇尔-波罗纳拉（Achille Polonara，出生于 1991 年 11 月 23 日）是一名意大利职业篮球运动员，现效力于意大利甲级联赛（LBA）和欧洲联赛的博洛尼亚队。他主要司职大前锋位置。
197;古列尔莫-卡鲁索;Guglielmo Caruso;4;0;8;62;72;72;61;73;71;73;55;69;70;56;66;69;68;24;0;意大利;17;0;0;0;0;5001;古列尔莫-卡鲁索是一名篮球运动员，1999 年 7 月 3 日出生于那不勒斯。身高六英尺十英寸（2米09/6-10）。他是一名大前锋，最近效力于意大利 EA7 Emporio Armani 米兰队 - LBA 意甲季后赛。
198;阿乌杜-阿巴斯;Awudu Abass;3;0;8;62;72;72;61;73;71;73;55;69;70;56;64;68;67;31;0;意大利;17;0;0;0;0;5001;阿乌杜-阿巴斯-阿巴斯（Awudu Abass Abass，1993 年 1 月 27 日出生），意大利职业篮球运动员，曾效力于意大利篮球甲级联赛（LBA）和欧洲联赛的博洛尼亚队。路易斯-佩雷拉（Luis Pereira）出生于 2000 年 9 月 8 日，是一名篮球运动员。他的身高为 6 英尺 2（1 米87 / 6-2）。
199;马尔科-斯皮苏;Marco Spissu;2;0;7;77;67;76;65;65;67;60;64;65;73;71;72;62;67;29;1;意大利;17;0;0;0;0;5001;马尔科-斯皮苏（生于 1995 年 2 月 5 日）是意大利职业篮球运动员，现效力于 ACB 联盟的萨拉戈萨卡萨德蒙特队。斯皮苏通常担任控球后卫。
